Code;Code uniek;nr;Woningtype;Bouwperiode;Subtype;Pakket;Bewonersgedrag;EI_Berekening;Binnentemperatuur;Ventilatiecorrectie;Wisselstroom;Optimale regeling;AantalPersonen;TypeWoning;TypeDak;AantalOnzelfstandigeWooneenheden;Gebruiksoppervlak;KierDichting;Type;Orientatie;VoorverwarmingVentilatielucht;WTW;SerreLagen;BalkonBreedte;BalkonBeglazing;Type;Orientatie;VoorverwarmingVentilatielucht;WTW;SerreLagen;BalkonBreedte;BalkonBeglazing;Type;m2_beganegrond;Warmteweerstand;Begrenzing;Type;m2_hellenddak;Warmteweerstand;Begrenzing;Type;m2_platdak;Warmteweerstand;Begrenzing;Type;m2_zijgevel;Warmteweerstand;Begrenzing;Type;Oppervlak;Warmteweerstand;Begrenzing;Type;m2_enkelglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_dubbelglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_hrglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_enkelzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_dubbelzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_hrzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;Oppervlak;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;BinnenSchil;LeidingenOnverwarmdeRuimten;IsolatieLeidingenOnverwarmdeRuimten;IndividueleBemetering;Waakvlam;PreferentToestel;OpwekkingsrendementPreferentToestel;PreferentToestelVermogen;TypeBijstook;Temperatuurniveau;RatioWKK;PreferentToestel;OpwekkingsrendementPreferentToestel;NietPreferentToestel;PreferentToestelVermogen ;NietPreferentToestelVermogen ;PompVermogen;PompRegeling;AantalAangeslotenZelfstandigeWoningen;Temperatuurniveau;Toestel;OpwekkingsrendementToestel;doucheWTW;HRww;Keukenboiler;Bad;BeperkteLeidingLengte;Circulatieleiding;IsolatieCirculatieLeiding;Voorziening;TypeWTW;RendementWTW;Aanwezig;Type;Zonnekeurlabel;OppervlakteCollectieveZonneboiler;Helling;Orientatie;Aanwezig;Type;Oppervlak;Wattpiekvermogen;Helling;Orientatie;EI;prim_TOTAAL;prim_RV;prim_TAP;prim_HULP;prim_LICHT;m3_gas;kWh_elek;kg_CO2;Code;Aantal foute codes: 0
821153;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.06;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;6;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,22;108361;95818;7992;1892;2658;2952;493;5533;821153;TRUE
821163;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.07;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;6;;;1;2;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,15;105839;93297;7992;1892;2658;2880;493;5405;821163;TRUE
821173;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.08;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;7;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,15;105839;93297;7992;1892;2658;2880;493;5405;821173;TRUE
821183;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.09;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;FALSE;FALSE;FALSE;TRUE;FALSE;7;;;1;2;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,22;108361;95818;7992;1892;2658;2952;493;5533;821183;TRUE
821193;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.10;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;3;TRUE;FALSE;FALSE;TRUE;FALSE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;2,97;99955;88632;7992;672;2658;227;361;8382;821193;TRUE
821203;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.11;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;8;;;1;2;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;2;67300;55395;7992;1254;2658;227;6425;4041;821203;TRUE
821213;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.12;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;8;;;1;1;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;1,89;63435;51530;7992;1254;2658;227;6006;3804;821213;TRUE
821223;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.13;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;10;;;1;2;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;1,83;61420;49515;7992;1254;2658;227;5788;3680;821223;TRUE
821233;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.14;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;10;;;1;1;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;1,71;57357;45452;7992;1254;2658;227;5348;3431;821233;TRUE
821243;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.15;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;2;FALSE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;5;;2;100;50;2;FALSE;20;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,5;117504;102856;7992;3997;2658;3152;721;6018;821243;TRUE
